id_ingreso;nombre_ingreso;nombre_planta;producto;zona;tipo_ingreso;almacen_verano;almacen_invierno;cosecha_compra;mes_planificado;volumen
ing3;Compras en cancha (CN);Nueva_aldea;EUGL;chillan;directo_almacen;alm1;alm1;compras;16;26000,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;1;189,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;2;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;3;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;4;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;5;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;6;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;7;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;8;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;9;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;10;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;11;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;12;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;13;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;14;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;15;0,0
ing4;Compras en predio (OC);Nueva_aldea;EUGL;chillan;directo_almacen;alm3;alm3;compras;16;0,0
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;1;0,0
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;2;0,0
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;3;0,0
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;4;0,0
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;5;16335,066666666668
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;6;16335,066666666668
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;7;16335,066666666668
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;8;33064,96666666666
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;9;33064,96666666666
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;10;33064,96666666666
ing5;Cosecha Zona constitución;Nueva_aldea;EUGL;constitucion;directo_planta;N_A;N_A;cosecha;11;1817,4
